Date,Breakfast,Lunch,Evening_Snacks,Dinner,DayOfWeek
2026-01-01,17.0,74.0,10.0,49.0,Thursday
2026-01-02,27.0,106.0,29.0,65.0,Friday
2026-01-03,24.0,135.0,8.0,42.0,Saturday
2026-01-04,30.0,95.0,25.0,222.0,Sunday
2026-01-05,128.0,494.0,76.0,345.0,Monday
2026-01-06,126.0,493.0,141.0,322.0,Tuesday
2026-01-07,153.0,583.0,132.0,490.0,Wednesday
2026-01-08,114.0,473.0,234.0,345.0,Thursday
2026-01-09,153.0,373.0,175.0,315.0,Friday
2026-01-10,70.0,395.0,38.0,85.0,Saturday
2026-01-11,70.0,188.0,80.0,367.0,Sunday
2026-01-12,130.0,542.0,126.0,367.0,Monday
2026-01-13,201.0,527.0,234.0,345.0,Tuesday
2026-01-14,188.0,617.0,195.0,518.0,Wednesday
2026-01-15,141.0,468.0,278.0,375.0,Thursday
2026-01-16,190.0,415.0,176.0,349.0,Friday
2026-01-17,74.0,385.0,48.0,108.0,Saturday
2026-01-18,102.0,185.0,100.0,378.0,Sunday
2026-01-19,180.0,545.0,125.0,413.0,Monday
2026-01-20,232.0,468.0,216.0,330.0,Tuesday
2026-01-21,197.0,610.0,234.0,544.0,Wednesday
2026-01-22,137.0,465.0,254.0,366.0,Thursday
2026-01-23,166.0,362.0,150.0,292.0,Friday
2026-01-24,85.0,338.0,32.0,84.0,Saturday
2026-01-25,100.0,145.0,79.0,275.0,Sunday
2026-01-26,84.0,248.0,67.0,285.0,Monday
2026-01-27,215.0,439.0,223.0,346.0,Tuesday
2026-01-28,210.0,579.0,186.0,525.0,Wednesday
2026-01-29,121.0,657.0,212.0,315.0,Thursday
2026-01-30,185.0,357.0,192.0,315.0,Friday
2026-01-31,101.0,346.0,50.0,93.0,Saturday
2026-02-01,95.0,183.0,92.0,410.0,Sunday
2026-02-02,179.0,511.0,114.0,468.0,Monday
2026-02-03,187.0,446.0,198.0,347.0,Tuesday
2026-02-04,226.0,568.0,187.0,508.0,Wednesday
2026-02-05,150.0,479.0,237.0,395.0,Thursday
2026-02-06,199.0,442.0,200.0,432.0,Friday
2026-02-07,140.0,495.0,56.0,104.0,Saturday
2026-02-08,102.0,184.0,104.0,438.0,Sunday
2026-02-09,191.0,559.0,115.0,445.0,Monday
2026-02-10,255.0,482.0,235.0,316.0,Tuesday
2026-02-11,240.0,554.0,178.0,518.0,Wednesday
2026-02-12,196.0,444.0,229.0,362.0,Thursday
2026-02-13,198.0,535.0,152.0,333.0,Friday
2026-02-14,96.0,374.0,48.0,123.0,Saturday
2026-02-15,85.0,155.0,90.0,345.0,Sunday
2026-02-16,195.0,529.0,94.0,408.0,Monday
2026-02-17,217.0,491.0,201.0,305.0,Tuesday
2026-02-18,235.0,556.0,211.0,518.0,Wednesday
2026-02-19,173.0,400.0,247.0,361.0,Thursday
2026-02-20,205.0,487.0,171.0,456.0,Friday
2026-02-21,160.0,484.0,118.0,188.0,Saturday
2026-02-22,185.0,252.0,173.0,502.0,Sunday
2026-02-23,171.0,500.0,110.0,359.0,Monday
2026-02-24,150.0,397.0,240.0,293.0,Tuesday
2026-02-25,180.0,476.0,157.0,465.0,Wednesday
2026-02-26,172.0,321.0,177.0,278.0,Thursday
2026-02-27,165.0,343.0,140.0,340.0,Friday
2026-02-28,143.0,386.0,60.0,85.0,Saturday
2026-03-01,85.0,120.0,42.0,162.0,Sunday
2026-03-02,46.0,310.0,12.0,70.0,Monday
2026-03-03,33.0,112.0,26.0,68.0,Tuesday
2026-03-04,45.0,89.0,20.0,119.0,Wednesday
2026-03-05,45.0,108.0,35.0,85.0,Thursday
2026-03-06,60.0,138.0,28.0,114.0,Friday
2026-03-07,73.0,172.0,14.0,61.0,Saturday
2026-03-08,78.0,134.0,55.0,236.0,Sunday
2026-03-09,94.0,465.0,101.0,297.0,Monday
2026-03-10,185.0,566.0,151.0,313.0,Tuesday
2026-03-11,229.0,426.0,180.0,452.0,Wednesday
2026-03-12,158.0,413.0,265.0,321.0,Thursday
2026-03-13,173.0,320.0,89.0,267.0,Friday
2026-03-14,114.0,343.0,102.0,118.0,Saturday
2026-03-15,107.0,194.0,86.0,379.0,Sunday
2026-03-16,182.0,532.0,96.0,393.0,Monday
2026-03-17,195.0,620.0,136.0,334.0,Tuesday
2026-03-18,235.0,390.0,168.0,520.0,Wednesday
2026-03-19,168.0,428.0,235.0,378.0,Thursday
2026-03-20,155.0,423.0,160.0,322.0,Friday
