Date,DayOfWeek,DayOfMonth,Month,Is_Start_Of_Month,Is_End_Of_Month,Is_Weekend,Is_Holiday,Is_Vacation,Is_Exam_Period,Is_Fest,Days_Until_Holiday,DayOfWeek_Sin,DayOfWeek_Cos,Month_Sin,Month_Cos,Is_Broke_Weekend,Is_Rich_Weekend,WeekOfYear,DayOfYear,Target_Headcount,Target_1_Days_Ago,Target_2_Days_Ago,Target_3_Days_Ago,Target_7_Days_Ago,Target_14_Days_Ago,Target_21_Days_Ago,Target_3_Day_Avg,Target_3_Day_Std,Target_3_Day_Max,Target_3_Day_Min,Target_7_Day_Avg,Target_7_Day_Std,Target_7_Day_Max,Target_7_Day_Min,Target_14_Day_Avg,Target_14_Day_Std,Target_14_Day_Max,Target_14_Day_Min,Target_28_Day_Avg,Target_28_Day_Std,Target_28_Day_Max,Target_28_Day_Min,Target_EWMA_7,Target_EWMA_14,Trend_7_vs_28
2024-01-01,Monday,1,1,1,0,0,0,1,0,0,12.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,1,1,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,Tuesday,2,1,1,0,0,0,1,0,0,11.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,1,2,12.0,4.0,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,
2024-01-03,Wednesday,3,1,1,0,0,0,1,0,0,10.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,1,3,26.0,12.0,4.0,,,,,,,,,,,,,,,,,,,,,6.0,5.066666666666666,
2024-01-04,Thursday,4,1,1,0,0,0,1,0,0,9.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,1,4,27.0,26.0,12.0,4.0,,,,14.0,11.135528725660043,26.0,4.0,,,,,,,,,,,,,11.0,7.857777777777778,
2024-01-05,Friday,5,1,1,0,0,0,1,0,0,8.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,1,5,11.0,27.0,26.0,12.0,,,,21.666666666666668,8.386497083606082,27.0,12.0,,,,,,,,,,,,,15.0,10.410074074074075,
2024-01-06,Saturday,6,1,1,0,1,0,1,0,0,7.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0,1,1,6,39.0,11.0,27.0,26.0,,,,21.333333333333332,8.9628864398325,27.0,11.0,,,,,,,,,,,,,14.0,10.488730864197532,
2024-01-07,Sunday,7,1,1,0,1,0,1,0,0,6.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,1,1,7,28.0,39.0,11.0,27.0,,,,25.666666666666668,14.047538337136983,39.0,11.0,,,,,,,,,,,,,20.25,14.29023341563786,
2024-01-08,Monday,8,1,0,0,0,0,0,0,0,5.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,2,8,137.0,28.0,39.0,11.0,4.0,,,26.0,14.106735979665883,39.0,11.0,21.0,12.274635093014645,39.0,4.0,,,,,,,,,22.1875,16.118202293552812,
2024-01-09,Tuesday,9,1,0,0,0,0,0,0,0,4.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,2,9,226.0,137.0,28.0,39.0,12.0,,,68.0,60.00833275470999,137.0,28.0,40.0,43.86342439892262,137.0,11.0,,,,,,,,,50.890625,32.2357753210791,
2024-01-10,Wednesday,10,1,0,0,0,0,0,0,0,3.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,2,10,198.0,226.0,137.0,28.0,26.0,,,130.33333333333334,99.16820727094613,226.0,28.0,70.57142857142857,80.42979784229463,226.0,11.0,,,,,,,,,94.66796875,58.07100527826856,
