Date,DayOfWeek,DayOfMonth,Month,Is_Start_Of_Month,Is_End_Of_Month,Is_Weekend,Is_Holiday,Is_Vacation,Is_Exam_Period,Is_Fest,Days_Until_Holiday,DayOfWeek_Sin,DayOfWeek_Cos,Month_Sin,Month_Cos,Is_Broke_Weekend,Is_Rich_Weekend,WeekOfYear,DayOfYear,Target_Headcount,Target_1_Days_Ago,Target_2_Days_Ago,Target_3_Days_Ago,Target_7_Days_Ago,Target_14_Days_Ago,Target_21_Days_Ago,Target_3_Day_Avg,Target_3_Day_Std,Target_3_Day_Max,Target_3_Day_Min,Target_7_Day_Avg,Target_7_Day_Std,Target_7_Day_Max,Target_7_Day_Min,Target_14_Day_Avg,Target_14_Day_Std,Target_14_Day_Max,Target_14_Day_Min,Target_28_Day_Avg,Target_28_Day_Std,Target_28_Day_Max,Target_28_Day_Min,Target_EWMA_7,Target_EWMA_14,Trend_7_vs_28
2024-01-01,Monday,1,1,1,0,0,0,1,0,0,12.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,1,1,40.0,,,,,,,,,,,,,,,,,,,,,,,,,
2024-01-02,Tuesday,2,1,1,0,0,0,1,0,0,11.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,1,2,52.0,40.0,,,,,,,,,,,,,,,,,,,,,,40.0,40.0,
2024-01-03,Wednesday,3,1,1,0,0,0,1,0,0,10.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,1,3,87.0,52.0,40.0,,,,,,,,,,,,,,,,,,,,,43.0,41.60000000000001,
2024-01-04,Thursday,4,1,1,0,0,0,1,0,0,9.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,1,4,98.0,87.0,52.0,40.0,,,,59.666666666666664,24.419937209856485,87.0,40.0,,,,,,,,,,,,,54.0,47.65333333333334,
2024-01-05,Friday,5,1,1,0,0,0,1,0,0,8.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,1,5,135.0,98.0,87.0,52.0,,,,79.0,24.020824298928627,98.0,52.0,,,,,,,,,,,,,65.0,54.366222222222234,
2024-01-06,Saturday,6,1,1,0,1,0,1,0,0,7.0,-0.9749279121818236,-0.2225209339563146,0.49999999999999994,0.8660254037844387,0,1,1,6,99.0,135.0,98.0,87.0,,,,106.66666666666667,25.146238950056393,135.0,87.0,,,,,,,,,,,,,82.5,65.11739259259261,
2024-01-07,Sunday,7,1,1,0,1,0,1,0,0,6.0,-0.7818314824680299,0.6234898018587334,0.49999999999999994,0.8660254037844387,0,1,1,7,70.0,99.0,135.0,98.0,,,,110.66666666666667,21.079215671683166,135.0,98.0,,,,,,,,,,,,,86.625,69.63507358024692,
2024-01-08,Monday,8,1,0,0,0,0,0,0,0,5.0,0.0,1.0,0.49999999999999994,0.8660254037844387,0,0,2,8,450.0,70.0,99.0,135.0,40.0,,,101.33333333333333,32.56275991578928,135.0,70.0,83.0,32.09361307176243,135.0,40.0,,,,,,,,,82.46875,69.683730436214,
2024-01-09,Tuesday,9,1,0,0,0,0,0,0,0,4.0,0.7818314824680298,0.6234898018587336,0.49999999999999994,0.8660254037844387,0,0,2,9,422.0,450.0,70.0,99.0,52.0,,,206.33333333333334,211.5191086718487,450.0,70.0,141.57142857142858,138.44717060171018,450.0,52.0,,,,,,,,,174.3515625,120.39256637805214,
2024-01-10,Wednesday,10,1,0,0,0,0,0,0,0,3.0,0.9749279121818236,-0.22252093395631434,0.49999999999999994,0.8660254037844387,0,0,2,10,556.0,422.0,450.0,70.0,87.0,,,314.0,211.77346387118476,450.0,70.0,194.42857142857142,166.36591912894613,450.0,70.0,,,,,,,,,236.263671875,160.60689086097852,
2024-01-11,Thursday,11,1,0,0,0,0,0,0,0,2.0,0.43388373911755823,-0.900968867902419,0.49999999999999994,0.8660254037844387,0,0,2,11,408.0,556.0,422.0,450.0,98.0,,,476.0,70.68238818828917,556.0,422.0,261.42857142857144,205.68410823627667,556.0,70.0,,,,,,,,,316.19775390625,213.3259720795147,
2024-01-12,Friday,12,1,0,0,0,0,0,0,0,1.0,-0.433883739117558,-0.9009688679024191,0.49999999999999994,0.8660254037844387,0,0,2,12,410.0,408.0,556.0,422.0,135.0,,,462.0,81.70679286326198,556.0,408.0,305.7142857142857,197.8557675730095,556.0,70.0,,,,,,,,,339.1483154296875,239.28250913557943,
