iter	Passed	Remaining
0	1	426
1	3	399
2	4	381
3	6	363
4	7	347
5	8	340
6	9	332
7	10	324
8	12	319
9	13	317
10	14	315
11	16	313
12	17	313
13	18	312
14	20	311
15	21	309
16	22	307
17	24	306
18	25	307
19	27	305
20	28	303
21	29	299
22	30	297
23	31	293
24	33	291
25	34	289
26	35	286
27	36	285
28	38	283
29	39	281
30	40	279
31	41	278
32	43	277
33	44	275
34	45	273
35	47	272
36	48	271
37	49	270
38	50	267
39	52	266
40	53	264
41	54	263
42	55	261
43	58	266
44	59	265
45	60	263
46	62	262
47	63	260
48	64	258
49	66	257
50	67	256
51	68	254
52	70	253
53	71	252
54	72	251
55	73	249
56	75	248
57	76	246
58	77	245
59	79	243
60	80	242
61	81	241
62	83	239
63	84	238
64	85	237
65	87	236
66	88	234
67	89	233
68	90	231
69	92	230
70	93	228
71	94	227
72	95	225
73	97	224
74	98	222
75	99	221
76	100	220
77	102	218
78	103	217
79	104	215
80	105	214
81	107	213
82	108	212
83	109	210
84	111	209
85	112	207
86	113	206
87	115	205
88	116	204
89	117	202
90	118	201
91	120	199
92	121	198
93	122	196
94	123	195
95	124	193
96	125	192
97	127	190
98	128	189
99	129	188
100	130	186
101	132	185
102	133	184
103	135	183
104	136	181
105	137	180
106	139	179
107	140	177
108	141	176
109	142	175
110	144	174
111	145	172
112	146	171
113	147	169
114	148	168
115	150	166
116	151	165
117	152	164
118	153	162
119	155	161
120	156	160
121	157	159
122	159	157
123	160	156
124	161	154
125	162	153
126	163	151
127	164	150
128	165	149
129	167	147
130	168	146
131	169	145
132	170	143
133	172	142
134	173	141
135	174	139
136	175	138
137	176	137
138	178	135
139	179	134
140	180	133
141	181	131
142	182	130
143	184	129
144	185	127
145	186	126
146	187	125
147	188	123
148	190	122
149	191	121
150	192	119
151	193	118
152	194	117
153	196	115
154	197	114
155	198	113
156	199	112
157	201	110
158	202	109
159	203	108
160	204	106
161	206	105
162	207	104
163	209	103
164	211	102
165	213	101
166	214	100
167	216	99
168	217	97
169	219	96
170	222	96
171	223	95
172	224	93
173	226	92
174	227	90
175	228	89
176	229	88
177	231	87
178	232	85
179	233	84
180	235	83
181	236	81
182	237	80
183	238	79
184	239	77
185	241	76
186	242	75
187	243	73
188	244	72
189	246	71
190	247	69
191	248	68
192	249	67
193	250	65
194	252	64
195	253	63
196	254	62
197	255	60
198	257	59
199	258	58
200	259	56
201	261	55
202	262	54
203	263	52
204	264	51
205	265	50
206	267	49
207	268	47
208	269	46
209	270	45
210	271	43
211	273	42
212	274	41
213	275	39
214	276	38
215	278	37
216	279	36
217	281	34
218	282	33
219	284	32
220	285	30
221	286	29
222	287	28
223	288	27
224	289	25
225	291	24
226	292	23
227	293	21
228	294	20
229	295	19
230	297	18
231	298	16
232	299	15
233	300	14
234	302	12
235	303	11
236	304	10
237	305	8
238	307	7
239	308	6
240	309	5
241	310	3
242	312	2
243	313	1
244	314	0
